dataset,fold,seed,split,arm,display,recording,uid,node_index,identity,target_slot,prediction_slot,rank,correct,target_probability,dustbin_top1,hungarian_prediction_slot,hungarian_correct
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,106,MI,88,64,2,0,0.24781116843223572,0,88,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,107,AUAL,29,101,8,0,0.009508594870567322,1,101,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,113,M3L,82,82,1,1,0.16458141803741455,0,82,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,117,AVDL,35,67,10,0,0.0026142082642763853,0,67,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,119,OLQDL,93,119,2,0,0.30946192145347595,0,119,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,120,AINL,10,85,7,0,0.0007007157546468079,0,85,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,122,URXR,146,42,15,0,0.004131056368350983,0,42,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,123,BAGL,52,52,1,1,0.23851116001605988,0,52,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,124,CEPVR,57,122,2,0,0.2110743373632431,0,57,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,126,URYDL,147,120,2,0,0.17221061885356903,0,120,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,127,FLPL,58,124,15,0,0.000502966286148876,1,124,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,129,NSML,89,89,1,1,0.19743593037128448,0,89,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,131,IL2VR,79,79,1,1,0.6099626421928406,0,79,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-07-26-01__0f9510f7.npz,2022-07-26-01,132,URAVL,141,56,3,0,0.15686213970184326,0,72,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,0,SAADR,126,7,12,0,0.004583326634019613,1,129,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,2,IL1R,71,148,13,0,0.005876454524695873,0,69,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,3,AWAR,47,5,7,0,0.03144831955432892,0,21,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,5,ASGL,20,39,7,0,0.04011831805109978,0,39,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,7,IL1VR,73,57,26,0,0.0007218783139251173,1,57,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,8,CEPVR,57,116,8,0,0.024325354024767876,0,116,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,9,RMEV,122,106,2,0,0.11834237724542618,0,106,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,10,RMDR,116,51,4,0,0.07763784378767014,0,51,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,12,AIBR,7,19,5,0,0.04941357299685478,1,19,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,13,AWBR,49,138,7,0,0.01582600176334381,1,138,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,14,AIZL,14,58,7,0,0.021919695660471916,0,58,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,16,AUAL,29,29,1,1,0.39109691977500916,0,29,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,17,AIZR,15,108,5,0,0.06473980844020844,0,108,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,19,AVJR,42,112,2,0,0.2593395709991455,0,42,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,21,AIBL,6,6,1,1,0.19333413243293762,0,6,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,22,ASEL,18,14,4,0,0.13845300674438477,0,33,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,24,I2R,63,90,2,0,0.29893243312835693,0,63,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,25,URBR,144,94,22,0,0.0008293544524349272,1,128,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,26,SAAVL,127,137,18,0,0.0019131164299324155,0,137,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,27,IL2DL,74,147,8,0,0.004329386632889509,1,74,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,28,IL1DL,68,103,11,0,0.0004928334383293986,1,91,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,29,IL2VR,79,79,1,1,0.7950486540794373,0,79,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,30,OLQVR,96,38,10,0,0.010759920813143253,0,38,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,31,URXL,145,145,1,1,0.14040805399417877,1,145,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,32,CEPDL,54,54,1,1,0.11524862051010132,1,27,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,33,SMDDL,135,12,9,0,0.051096998155117035,0,110,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,35,AVJL,41,10,2,0,0.15629637241363525,0,14,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,36,ASKL,27,111,4,0,0.026892583817243576,1,111,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,37,AVDR,36,42,3,0,0.14642678201198578,0,11,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,38,NSMR,90,90,1,1,0.29207634925842285,0,90,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,39,RIVL,111,10,3,0,0.1031496450304985,1,10,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,40,URADL,139,93,7,0,0.008246456272900105,1,93,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,41,FLPL,58,66,4,0,0.049900248646736145,1,66,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,42,OLQDR,94,103,8,0,0.0032476517371833324,1,32,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,47,RIBL,99,99,1,1,0.16692060232162476,0,20,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,48,RIH,106,114,7,0,0.035875264555215836,1,123,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,50,M5,85,85,1,1,0.5187669396400452,0,85,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,53,AIYL,12,45,5,0,0.08160621672868729,1,45,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,54,AVAR,32,49,7,0,0.04567441716790199,0,49,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,55,FLPR,59,3,3,0,0.09121855348348618,1,3,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,56,SMDDR,136,136,1,1,0.1783757209777832,1,134,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,57,I2L,62,62,1,1,0.3683737516403198,0,62,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,58,AVL,45,122,7,0,0.005026469938457012,0,122,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,59,SMBVR,134,12,4,0,0.07763095945119858,1,13,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,60,M3L,82,82,1,1,0.2836935818195343,0,82,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,61,RMED,119,103,7,0,0.0034867546055465937,1,65,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,62,AVER,38,47,8,0,0.020820770412683487,0,47,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,63,IL2L,76,120,5,0,0.06331216543912888,0,143,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,64,BAGR,53,121,90,0,3.834144379766258e-08,0,121,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,65,ADEL,2,66,7,0,0.03174382820725441,1,43,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,66,ADAL,0,0,1,1,0.2649455964565277,0,0,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,67,OLQVL,95,52,5,0,0.04176178574562073,0,115,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,68,RIAL,97,4,11,0,0.0044400510378181934,0,4,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,69,AVAL,31,46,10,0,0.015356505289673805,0,48,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,72,AIML,8,1,11,0,0.005768539384007454,0,1,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,74,ASHL,22,99,6,0,0.04748205840587616,0,99,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,75,RMDDL,113,7,19,0,0.0020052806939929724,0,7,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,76,RICR,102,102,1,1,0.25394976139068604,0,102,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,77,NSML,89,89,1,1,0.36111751198768616,0,89,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,79,AIMR,9,151,2,0,0.17025715112686157,0,151,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,83,SMDVL,137,4,3,0,0.058583613485097885,1,24,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,84,AINL,10,2,3,0,0.11860337108373642,1,2,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,86,SMBDR,132,45,18,0,0.008136341348290443,1,109,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,87,VB02,151,44,6,0,0.04942389205098152,0,44,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,88,AWCL,50,50,1,1,0.29894158244132996,0,50,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,89,SMBDL,131,136,19,0,0.0015131052350625396,1,136,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,91,URXR,146,55,5,0,0.01844790391623974,1,16,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,93,MCR,87,64,7,0,0.032469287514686584,0,64,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,94,RMER,121,98,21,0,0.0002153044188162312,0,98,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,96,RICL,101,101,1,1,0.4012705981731415,0,101,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,97,RMFL,123,109,4,0,0.022649195045232773,1,126,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,99,RIVR,112,112,1,1,0.10447812080383301,1,80,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,100,M3R,83,84,5,0,0.07551617920398712,0,84,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,101,URBL,143,120,3,0,0.1310594230890274,0,120,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,102,ASGR,21,112,5,0,0.062188927084207535,0,112,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,103,URYVL,149,52,7,0,0.04017003998160362,0,52,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,104,RID,103,145,4,0,0.027196431532502174,1,25,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,106,AWBL,48,18,8,0,0.030335182324051857,0,18,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,108,RMDDR,114,113,8,0,0.020053697749972343,0,113,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,109,IL1DR,69,119,9,0,0.003937562927603722,1,75,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,110,I3,64,68,15,0,0.003147951327264309,0,68,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,112,I1R,61,61,1,1,0.5988215804100037,0,61,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,114,URADR,140,94,9,0,0.00472632423043251,1,94,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,116,URYDR,148,119,9,0,0.008369428105652332,1,140,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,118,RMDL,115,37,2,0,0.20934897661209106,0,37,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,119,SMDVR,138,55,3,0,0.08344781398773193,1,55,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,121,RMEL,120,137,46,0,4.00771824615731e-07,1,54,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,122,SAAVR,128,146,10,0,0.005601082928478718,1,146,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,123,M4,84,103,37,0,1.1782471887045176e-08,1,103,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,124,RMGL,124,124,1,1,0.31531116366386414,0,124,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,125,OLLL,91,147,9,0,0.012505973689258099,1,147,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,126,IL2R,77,148,13,0,0.004884303081780672,0,148,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,128,AVHL,39,41,4,0,0.11528797447681427,0,41,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,129,CEPDR,55,55,1,1,0.19681978225708008,1,28,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,131,IL2DR,75,119,13,0,0.001389013254083693,1,119,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,132,URYVR,150,92,12,0,0.004948560614138842,0,92,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,134,IL2VL,78,141,3,0,0.17015497386455536,0,141,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,135,AVDL,35,35,1,1,0.19515322148799896,0,35,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,137,CEPVL,56,56,1,1,0.4282444715499878,0,56,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,138,MCL,86,86,1,1,0.34300339221954346,0,86,1
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,139,BAGL,52,31,28,0,0.0002082486025756225,0,31,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,140,MI,88,68,13,0,0.0028928909450769424,0,139,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,141,RIAR,98,5,5,0,0.05072818323969841,1,5,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,142,OLLR,92,146,21,0,0.0001122552712331526,1,118,0
atanas,0,42,test,geometry_only,w/o Activity,train__2022-08-02-01__17852669.npz,2022-08-02-01,145,AUAR,30,30,1,1,0.1819562464952469,0,30,1
